'GNO.dependency_comparison' depends on axioms: [propext, Classical.choice, Quot.sound]
'GNO.dependency_radius_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'GNO.weighted_cross_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'GNO.weighted_minkowski_square' depends on axioms: [propext, Classical.choice, Quot.sound]
'GNO.finite_refinement_step' depends on axioms: [propext, Classical.choice, Quot.sound]
'GNO.orthogonal_add_square' depends on axioms: [propext, Classical.choice, Quot.sound]
'GNO.orthogonal_three_square' depends on axioms: [propext, Classical.choice, Quot.sound]
'GNO.midpointDefect_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'GNO.midpointDefect_pos_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'GNO.midpointDefect_four_fifths' depends on axioms: [propext, Classical.choice, Quot.sound]
'GNO.two_point_lower_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'GNO.factors_iff_fiber_constant' depends on axioms: [Classical.choice]
'GNO.gram_distortion' depends on axioms: [propext, Classical.choice, Quot.sound]
'GNO.finite_decoder_transfer' depends on axioms: [propext, Classical.choice, Quot.sound]
'GNO.unseen_cell_two_point' depends on axioms: [propext, Classical.choice, Quot.sound]
'GNO.topEigenvalue_diagonal' depends on axioms: [propext, Classical.choice, Quot.sound]
'GNO.topEigenvalue_characteristic' depends on axioms: [propext, Classical.choice, Quot.sound]
'GNO.topEigenvalue_quadratic' depends on axioms: [propext, Classical.choice, Quot.sound]
'GNO.topEigenvalue_attained' depends on axioms: [propext, Classical.choice, Quot.sound]
'GNO.optimal_energy_step' depends on axioms: [propext, Classical.choice, Quot.sound]
'GNO.radius_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'GNO.radius_sq_succ' depends on axioms: [propext, Classical.choice, Quot.sound]
'GNO.radius_monotone' depends on axioms: [propext, Classical.choice, Quot.sound]
'GNO.square_step_monotone' depends on axioms: [propext, Classical.choice, Quot.sound]
'GNO.error_le_radius' depends on axioms: [propext, Classical.choice, Quot.sound]
'GNO.radius_step_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'GNO.radius_sq_le_linearBound' depends on axioms: [propext, Classical.choice, Quot.sound]
'GNO.context_independent_exact' depends on axioms: [propext, Classical.choice, Quot.sound]
'GNO.exponential_certificate' depends on axioms: [propext, Classical.choice, Quot.sound]
'GNO.add_tail_certificate' depends on axioms: [propext, Classical.choice, Quot.sound]
'GNO.isolated_seed_product' depends on axioms: [propext, Classical.choice, Quot.sound]
'GNO.fiber_centered' depends on axioms: [propext, Classical.choice, Quot.sound]
'GNO.fiber_regression_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
'GNO.fiber_mean_minimizes' depends on axioms: [propext, Classical.choice, Quot.sound]
'GNO.finite_conditional_regression' depends on axioms: [propext, Classical.choice, Quot.sound]
